id,page,class,gt_text_status,gt_text,char_len,bbox_norm
e0001,1,header,programmatic_verified,"MedCore
INSTRUMENTS INTERNATIONAL
Precision. Reliability. Care.
Page 1 of 4
www.medcore-intl.com
ISO 13485:2016 | CE Marked | FDA 510(k)",136,"{""x"": 0.0, ""y"": 0.0, ""w"": 1.0, ""h"": 0.0475}"
e0002,1,footer,programmatic_verified,"ISO 13485:2016    CE Marked    FDA 510(k)    ENERGY STAR
+49 69 4521 8800 | procurement@medcore-intl.com | www.medcore-intl.com Page 1 of 4",139,"{""x"": 0.0, ""y"": 0.905, ""w"": 1.0, ""h"": 0.095}"
e0003,1,figure,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.0475, ""w"": 0.9059, ""h"": 0.6199}"
e0004,1,title,programmatic_verified,2024 - 2025 PRODUCT CATALOGUE,29,"{""x"": 0.047, ""y"": 0.6722, ""w"": 0.9059, ""h"": 0.0309}"
e0005,1,title,programmatic_verified,Advanced Diagnostic & Surgical Instruments,42,"{""x"": 0.047, ""y"": 0.7078, ""w"": 0.9059, ""h"": 0.0214}"
e0006,1,paragraph,programmatic_verified,For ICUs | Operation Theatres | Diagnostic Labs | General Practice,66,"{""x"": 0.047, ""y"": 0.7339, ""w"": 0.9059, ""h"": 0.0166}"
e0007,2,header,programmatic_verified,"MedCore
INSTRUMENTS INTERNATIONAL
Precision. Reliability. Care.
Page 2 of 4
www.medcore-intl.com
ISO 13485:2016 | CE Marked | FDA 510(k)",136,"{""x"": 0.0, ""y"": 0.0, ""w"": 1.0, ""h"": 0.0475}"
e0008,2,footer,programmatic_verified,"MedCore Instruments International GmbH | 48 Commerce Blvd, Frankfurt 60311 | procurement@medcore-intl.com
Tel: +49 69 4521 8800 | All products for professional medical use only
p.2",180,"{""x"": 0.0, ""y"": 0.9667, ""w"": 1.0, ""h"": 0.0333}"
e0009,2,section_header,programmatic_verified,SECTION 1 -- Diagnostic & Monitoring Equipment    CE Certified | 2-Year Warranty,80,"{""x"": 0.047, ""y"": 0.0475, ""w"": 0.9059, ""h"": 0.038}"
e0010,2,section_header,programmatic_verified,All products include 2-year warranty | Free calibration first year | ServicePlus from EUR 299/yr,96,"{""x"": 0.047, ""y"": 0.9477, ""w"": 0.9059, ""h"": 0.019}"
e0011,2,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.4192}"
e0012,2,caption,programmatic_verified,"MC-VSP-9000    EUR 4,850",24,"{""x"": 0.047, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.0178}"
e0013,2,figure,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.1152, ""w"": 0.4429, ""h"": 0.1761}"
e0014,2,title,programmatic_verified,VitalScan Pro 9000,18,"{""x"": 0.047, ""y"": 0.296, ""w"": 0.4429, ""h"": 0.019}"
e0015,2,paragraph,programmatic_verified,Hospital-grade continuous vital-signs monitoring with 15-inch anti-glare TFT touchscreen. Seamless HL7 EMR integration.,119,"{""x"": 0.047, ""y"": 0.3198, ""w"": 0.4429, ""h"": 0.0671}"
e0016,2,spec_list,programmatic_verified,"Display: 15"" TFT 1024x768
Parameters: ECG 12-lead, SpO2, NIBP, Temp
Battery: 4 hours backup
Connectivity: Wi-Fi, Ethernet, USB 3.0
Cert.: CE, ISO 13485, IEC 60601",162,"{""x"": 0.047, ""y"": 0.3916, ""w"": 0.4429, ""h"": 0.0755}"
e0017,2,price_tag,programmatic_verified,"EUR 4,850 / unit",16,"{""x"": 0.047, ""y"": 0.4718, ""w"": 0.4429, ""h"": 0.0261}"
e0018,2,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.4192}"
e0019,2,caption,programmatic_verified,"MC-DSE-3X    EUR 1,299",22,"{""x"": 0.5101, ""y"": 0.0926, ""w"": 0.4429, ""h"": 0.0178}"
e0020,2,figure,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.1152, ""w"": 0.4429, ""h"": 0.1761}"
e0021,2,title,programmatic_verified,DermoScope Elite 3X,19,"{""x"": 0.5101, ""y"": 0.296, ""w"": 0.4429, ""h"": 0.019}"
e0022,2,paragraph,programmatic_verified,Variable 10-30x magnification with polarized and non-polarized LED illumination. Wi-Fi enabled 48 MP CMOS camera.,113,"{""x"": 0.5101, ""y"": 0.3198, ""w"": 0.4429, ""h"": 0.0671}"
e0023,2,spec_list,programmatic_verified,"Magnification: 10x / 20x / 30x
Illumination: 20 LED, polarized + non-pol
Camera: 48 MP CMOS sensor
Storage: 16 GB + cloud sync
Cert.: CE, ISO 13485",147,"{""x"": 0.5101, ""y"": 0.3916, ""w"": 0.4429, ""h"": 0.0755}"
e0024,2,price_tag,programmatic_verified,"EUR 1,299 / unit",16,"{""x"": 0.5101, ""y"": 0.4718, ""w"": 0.4429, ""h"": 0.0261}"
e0025,2,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.5238, ""w"": 0.4429, ""h"": 0.4192}"
e0026,2,caption,programmatic_verified,MC-ASD-HD    EUR 389,20,"{""x"": 0.047, ""y"": 0.5238, ""w"": 0.4429, ""h"": 0.0178}"
e0027,2,figure,out_of_scope_for_track_a,,0,"{""x"": 0.047, ""y"": 0.5463, ""w"": 0.4429, ""h"": 0.1761}"
e0028,2,title,programmatic_verified,AuraScan Digital Otoscope,25,"{""x"": 0.047, ""y"": 0.7272, ""w"": 0.4429, ""h"": 0.019}"
e0029,2,paragraph,programmatic_verified,Crystal-clear 1080p tympanic membrane visualization. USB-C EMR output. Three speculum sizes included.,101,"{""x"": 0.047, ""y"": 0.7509, ""w"": 0.4429, ""h"": 0.0671}"
e0030,2,spec_list,programmatic_verified,"Resolution: 1920x1080 HD
Illumination: Cool white LED 5500K
Speculums: 2.5mm, 4mm, 5mm
Output: USB-C, 3.5mm AV
Cert.: CE, ISO 13485",131,"{""x"": 0.047, ""y"": 0.8227, ""w"": 0.4429, ""h"": 0.0755}"
e0031,2,price_tag,programmatic_verified,EUR 389 / unit,14,"{""x"": 0.047, ""y"": 0.9029, ""w"": 0.4429, ""h"": 0.0261}"
e0032,2,product_card,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.5238, ""w"": 0.4429, ""h"": 0.4192}"
e0033,2,caption,programmatic_verified,MC-GSP-LAB    EUR 245,21,"{""x"": 0.5101, ""y"": 0.5238, ""w"": 0.4429, ""h"": 0.0178}"
e0034,2,figure,out_of_scope_for_track_a,,0,"{""x"": 0.5101, ""y"": 0.5463, ""w"": 0.4429, ""h"": 0.1761}"
e0035,2,title,programmatic_verified,GlucoSense Pro,14,"{""x"": 0.5101, ""y"": 0.7272, ""w"": 0.4429, ""h"": 0.019}"
e0036,2,paragraph,programmatic_verified,"Lab-accurate blood glucose in under 5 seconds. Hematocrit correction, 1000-reading memory, Bluetooth 5.0.",105,"{""x"": 0.5101, ""y"": 0.7509, ""w"": 0.4429, ""h"": 0.0671}"
e0037,2,spec_list,programmatic_verified,"Range: 1.1-33.3 mmol/L
Sample: 0.5 microlitre
Time: < 5 seconds
Memory: 1000 readings + timestamp
Cert.: CE, ISO 13485",118,"{""x"": 0.5101, ""y"": 0.8227, ""w"": 0.4429, ""h"": 0.0755}"
e0038,2,price_tag,programmatic_verified,EUR 245 / unit,14,"{""x"": 0.5101, ""y"": 0.9029, ""w"": 0.4429, ""h"": 0.0261}"
e0039,3,header,programmatic_verified,"MedCore
INSTRUMENTS INTERNATIONAL
Precision. Reliability. Care.
Page 3 of 4
www.medcore-intl.com
ISO 13485:2016 | CE Marked | FDA 510(k)",136,"{""x"": 0.0, ""y"": 0.0, ""w"": 1.0, ""h"": 0.0475}"
e0040,3,footer,programmatic_verified,"MedCore Instruments International GmbH | 48 Commerce Blvd, Frankfurt 60311 | procurement@medcore-intl.com
Tel: +49 69 4521 8800 | All products for professional medical use only
p.3",180,"{""x"": 0.0, ""y"": 0.9667, ""w"": 1.0, ""h"": 0.0333}"
